time_s,target_x_m,target_y_m,target_z_m,sensor_x_m,sensor_y_m,sensor_z_m,distance_m,longitudinal_offset_m,lateral_offset_m,observation_depth_m,regime,length_froude_number,depth_froude_number,wave_attenuation,transition_weight,hydrostatic_pressure_pa,body_dynamic_pressure_pa,free_surface_correction_pressure_pa,wave_pressure_pa,seabed_correction_pressure_pa,dynamic_pressure_pa,total_gauge_pressure_pa
11.6,-63.1202606838723,0,-3,0,25,-25,71.3664298448507,63.1202606838723,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.55256199559436,1.56201281107571,0.918648632856144,0.630201489739121,3.74477629640918,251299.151026296
11.7,-62.7772157888513,0,-3,0,25,-25,71.0632030111224,62.7772157888513,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.56599829998935,1.57201030076742,0.924227472921002,0.626164108310003,3.76417270906677,251299.170422709
11.8,-62.4341708938302,0,-3,0,25,-25,70.7603398465553,62.4341708938302,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.57950836100935,1.582019244065,0.929821552037719,0.621953590262446,3.7834811953368,251299.189731195
11.9,-62.0911259988092,0,-3,0,25,-25,70.4578450408469,62.0911259988092,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.59308991182599,1.59203672250857,0.935429680234589,0.617565722016266,3.80269235635082,251299.208942356
12,-61.7480811037882,0,-3,0,25,-25,70.1557233588251,61.7480811037882,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.6067405333921,1.60205967680258,0.941050602039818,0.61299620912943,3.82179641932411,251299.228046419
12.1,-61.4050362087671,0,-3,0,25,-25,69.8539796418214,61.4050362087671,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.62045764783752,1.61208490139891,0.946682993643546,0.608240675529503,3.84078322476594,251299.247033225
12.2,-61.0619913137461,0,-3,0,25,-25,69.5526188090714,61.0619913137461,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.63423851161635,1.62210903888865,0.952325459941925,0.603294662780454,3.85964221328545,251299.265892213
12.3,-60.718946418725,0,-3,0,25,-25,69.2516458591419,60.718946418725,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.64808020839772,1.63212857419644,0.957976531458445,0.598153629387769,3.87836241198193,251299.284612412
12.4,-60.375901523704,0,-3,0,25,-25,68.9510658713845,60.375901523704,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.66197964169194,1.64213982857117,0.963634661137472,0.592812950144942,3.89693242040806,251299.30318242
12.5,-60.0328566286829,0,-3,0,25,-25,68.6508840074183,60.0328566286829,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.67593352720373,1.6521389533665,0.969298221004811,0.587267915524529,3.91534039609476,251299.321590396
12.6,-59.6898117336619,0,-3,0,25,-25,68.3511055126397,59.6898117336619,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.68993838490385,1.66212192360475,0.974965498689866,0.581513731117124,3.93357403962573,251299.33982404
12.7,-59.3467668386408,0,-3,0,25,-25,68.0517357177611,59.3467668386408,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.70399053081087,1.67208453131741,0.980634693803789,0.575545517121721,3.95162057925,251299.357870579
12.8,-59.0037219436198,0,-3,0,25,-25,67.7527800403792,59.0037219436198,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.71808606847391,1.68202237865539,0.986303914167771,0.56935830789111,3.96946675502041,251299.375716755
12.9,-58.6606770485987,0,-3,0,25,-25,67.4542439865721,58.6606770485987,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.73222088014784,1.69193087076203,0.991971171885438,0.562947051536056,3.98709880244592,251299.393348802
13,-58.3176321535777,0,-3,0,25,-25,67.1561331525275,58.3176321535777,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.74639061765164,1.70180520840165,0.997634379253036,0.556306609592225,4.00450243564551,251299.410752436
13.1,-57.9745872585567,0,-3,0,25,-25,66.8584532262002,57.9745872585567,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.76059069290097,1.71164038033653,1.00329134450092,0.549431756753894,4.02166282999139,251299.42791283
13.2,-57.6315423635356,0,-3,0,25,-25,66.5612099890019,57.6315423635356,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.77481626810572,1.72143115544459,1.00893976735954,0.542317180678745,4.03856460422905,251299.444814604
13.3,-57.2884974685146,0,-3,0,25,-25,66.2644093175213,57.2884974685146,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.78906224562325,1.73117207457053,1.01457723444298,0.534957481868088,4.05519180206187,251299.461441802
13.4,-56.9454525734935,0,-3,0,25,-25,65.9680571852772,56.9454525734935,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.80332325745799,1.74085744210252,1.02020121444267,0.527347173627113,4.07152787318762,251299.477777873
13.5,-56.6024076784725,0,-3,0,25,-25,65.6721596645032,56.6024076784725,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.81759365439799,1.75048131726672,1.02580905312391,0.519480682109922,4.08755565377462,251299.493805654
13.6,-56.2593627834514,0,-3,0,25,-25,65.3767229279657,56.2593627834514,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.83186749477918,1.76003750513165,1.03139796811718,0.511352346454185,4.10325734636501,251299.509507346
13.7,-55.9163178884304,0,-3,0,25,-25,65.0817532508152,55.9163178884304,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.84613853286781,1.76951954731448,1.03696504349638,0.502956419010555,4.11861449919284,251299.524864499
13.8,-55.5732729934093,0,-3,0,25,-25,64.7872570124712,55.5732729934093,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.8604002068518,1.77892071238101,1.04250722413555,0.49428706567207,4.13360798490487,251299.539857985
13.9,-55.2302280983883,0,-3,0,25,-25,64.4932406985414,55.2302280983883,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.87464562643177,1.78823398593115,1.04802130983534,0.485338366308941,4.14821797867186,251299.554467979
14,-54.8871832033673,0,-3,0,25,-25,64.1997109027759,54.8871832033673,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.88886756000257,1.79745206036167,1.05350394921051,0.476104315314365,4.1624239356786,251299.568673936
14.1,-54.5441383083462,0,-3,0,25,-25,63.9066743290558,54.5441383083462,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.90305842141622,1.80656732429781,1.05895163332898,0.466578822267113,4.17620456798114,251299.582454568
14.2,-54.2010934133252,0,-3,0,25,-25,63.6141377934182,54.2010934133252,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.91721025631755,1.81557185168539,1.06436068909307,0.456755712716851,4.18953782071979,251299.595787821
14.3,-53.8580485183041,0,-3,0,25,-25,63.3221082261164,53.8580485183041,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.93131472804381,1.82445739053501,1.06972727235309,0.446628729098341,4.20240084767716,251299.608650848
14.4,-53.5150036232831,0,-3,0,25,-25,63.0305926737168,53.5150036232831,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.94536310307998,1.83321535130984,1.07504736074292,0.436191531780822,4.21476998617064,251299.621019986
14.5,-53.171958728262,0,-3,0,25,-25,62.7395983012324,53.171958728262,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.95934623606169,1.84183679494873,1.08031674622743,0.425437700259045,4.22662073126946,251299.632870731
14.6,-52.828913833241,0,-3,0,25,-25,62.4491323942935,52.828913833241,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.97325455431819,1.85031242051605,1.08553102735073,0.414360734492669,4.2379277093269,251299.644177709
14.7,-52.4858689382199,0,-3,0,25,-25,62.159202361356,52.4858689382199,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,1.98707804194807,1.85863255247018,1.0906856011742,0.402954056400804,4.24866465081906,251299.654914651
14.8,-52.1428240431989,0,-3,0,25,-25,61.8698157359467,52.1428240431989,25,25,surface_ship_transition,0.1,0.182574185835055,0,0.5,251295.40625,2.0008062234212,1.86678712754219,1.09577565489304,0.39121101151876,4.25880436248214,251299.665054362
